,airline_sentiment,tweet_coord,nearest_city
6739,1,"[21.05483165, -86.78164351]",Canc̼n
6809,1,"[40.70326657, -74.01106458]",New York City
6817,2,"[34.02763089, -118.49627894]",Santa Monica
6819,1,"[34.02761838, -118.49646336]",Santa Monica
6821,2,"[34.02764112, -118.49636416]",Santa Monica
6852,0,"[42.3658858, -71.01423374]",Chelsea
6866,1,"[33.8191302, -118.1455457]",Long Beach
6873,1,"[42.36005288, -71.06315559]",Boston
6918,1,"[40.76262466, -73.73946148]",Queens Village
6920,0,"[40.76262285, -73.7394313]",Queens Village
6930,2,"[41.21681145, -73.12508256]",City of Milford (balance)
7010,0,"[51.54381448, -0.00116722]",Canary Wharf
7048,0,"[34.09548421, -81.20955847]",Seven Oaks
7101,1,"[42.3427056, -71.5504108]",Marlborough
7112,2,"[33.78310211, -84.21250227]",Belvedere Park
7133,2,"[42.35829164, -71.06163025]",Boston
7141,2,"[26.37067479, -80.10215823]",Boca Raton
7176,2,"[41.06865736, -73.70398273]",White Plains
7184,1,"[40.64579177, -73.77555571]",Springfield Gardens
7187,0,"[41.06869526, -73.70402469]",White Plains
7203,1,"[40.6467516, -73.77465033]",Springfield Gardens
7204,0,"[40.64646872, -73.77594979]",Springfield Gardens
7239,0,"[26.0713458, -80.146874]",Dania Beach
7241,1,"[13.07761455, -59.60542973]",Bridgetown
7244,0,"[13.07787514, -59.6049865]",Bridgetown
7252,2,"[33.7008468, -118.0192094]",Huntington Beach
7265,1,"[40.64682076, -73.7823236]",Springfield Gardens
7266,0,"[40.64485766, -73.78737261]",Springfield Gardens
7273,0,"[42.36494288, -71.01451482]",Chelsea
7275,2,"[40.89343356, -74.29961359]",Wayne
7277,0,"[40.85036847, -74.42575912]",Parsippany
7280,0,"[40.775248, -74.48253909]",Morristown
7287,1,"[40.77844416, -73.87477197]",Jackson Heights
7302,0,"[40.64797296, -73.77939249]",Springfield Gardens
7308,0,"[40.64602261, -73.7762935]",Springfield Gardens
7361,1,"[40.61883222, -74.015404]",Dyker Heights
7364,0,"[40.61884429, -74.0153922]",Dyker Heights
7365,0,"[40.61878764, -74.01544319]",Dyker Heights
7367,0,"[40.61886457, -74.01535789]",Dyker Heights
7370,1,"[40.79874419, -73.82756667]",Whitestone
7371,0,"[40.6466862, -73.7769539]",Springfield Gardens
7416,0,"[42.40805407, -88.62699707]",Woodstock
7473,0,"[40.7740308, -73.8674526]",College Point
7482,2,"[4.69840554, -74.14134323]",Funza
7490,0,"[32.73346632, -117.20410937]",San Diego
7495,0,"[40.64646912, -73.79133606]",Springfield Gardens
7500,2,"[38.6485933, -121.11740707]",El Dorado Hills
7502,0,"[40.64646912, -73.79133606]",Springfield Gardens
7507,0,"[40.64646912, -73.79133606]",Springfield Gardens
7541,2,"[38.69255098, -121.58854512]",West Sacramento
7627,1,"[25.05152514, -77.46620117]",Nassau
7677,2,"[34.546788, -87.012305]",Decatur
7679,0,"[40.65275545, -73.79457024]",Springfield Gardens
7680,0,"[40.64779984, -73.78283404]",Springfield Gardens
7742,1,"[42.36726898, -71.01512871]",Chelsea
7750,0,"[18.43615031, -66.00573829]",Carolina
7760,2,"[40.67851205, -73.43465391]",East Massapequa
7791,2,"[41.05811177, -73.53637216]",Port Chester
7806,0,"[40.64573089, -73.77655727]",Springfield Gardens
7863,2,"[28.42301907, -81.29654204]",Meadow Woods
7898,0,"[40.64342444, -111.49392569]",Cottonwood Heights
7899,0,"[40.64339686, -111.49337274]",Cottonwood Heights
7909,1,"[40.88529232, -73.856635]",Wakefield
7911,0,"[40.88539964, -73.85658056]",Wakefield
7914,2,"[40.7171667, -73.96415608]",Long Island City
7918,1,"[40.71716644, -73.96426215]",Long Island City
7939,1,"[43.3230125, -73.64314219]",Queensbury
7946,1,"[33.8117407, -118.1628]",Long Beach
7957,2,"[26.07159064, -80.14770942]",Dania Beach
7967,0,"[40.64530946, -73.77617682]",Springfield Gardens
7972,0,"[40.64534568, -73.77609616]",Springfield Gardens
7973,0,"[40.64531687, -73.77617765]",Springfield Gardens
7974,0,"[40.64529157, -73.7761025]",Springfield Gardens
8029,1,"[37.40321679, -121.96988433]",Santa Clara
8093,1,"[38.91355311, -77.04169657]","Washington, D.C."
8158,2,"[40.79248745, -111.98778056]",North Salt Lake
8173,1,"[40.64638899, -73.78399051]",Springfield Gardens
8175,0,"[40.64656067, -73.78334045]",Springfield Gardens
8176,0,"[40.64656067, -73.78334045]",Springfield Gardens
8177,0,"[40.64656067, -73.78334045]",Springfield Gardens
8178,0,"[40.64656067, -73.78334045]",Springfield Gardens
8179,0,"[40.64656067, -73.78334045]",Springfield Gardens
8198,2,"[40.64661043, -73.776003]",Springfield Gardens
8199,0,"[40.64719984, -73.77530956]",Springfield Gardens
8200,0,"[40.64679403, -73.77516598]",Springfield Gardens
8201,1,"[40.64679903, -73.7734517]",Springfield Gardens
8204,0,"[40.64374009, -73.77678134]",Springfield Gardens
8205,0,"[40.64490372, -73.77508276]",Springfield Gardens
8308,2,"[42.36834942, -71.0152744]",Chelsea
8311,0,"[42.36833796, -71.01525742]",Chelsea
8334,0,"[40.63817554, -73.95630614]",Brooklyn
8342,0,"[38.87982914, -77.11608667]","Washington, D.C."
8416,0,"[33.81346953, -117.91426571]",Anaheim
8421,1,"[33.81391813, -117.92216895]",Anaheim
8462,2,"[40.64610291, -73.78666687]",Springfield Gardens
8476,0,"[40.64527675, -73.7761654]",Springfield Gardens
8500,0,"[40.64527481, -73.77615604]",Springfield Gardens
8501,0,"[40.51809311, -74.48552378]",Somerset
8513,0,"[40.51806327, -74.48518231]",Somerset
8517,1,"[40.51270596, -74.48509319]",Somerset
8518,0,"[40.64518126, -73.77582926]",Springfield Gardens
8520,0,"[40.51794328, -74.48516831]",Somerset
8524,0,"[40.64520088, -73.77587636]",Springfield Gardens
8583,0,"[40.77471899, -73.86957658]",Jackson Heights
8584,1,"[46.14149629, -122.90609053]",Longview
8585,0,"[40.77460155, -73.86969694]",Jackson Heights
8625,0,"[41.71826065, -72.68689133]",Wethersfield
8660,2,"[28.4261453, -81.2998841]",Meadow Woods
8674,2,"[18.22245647, -63.00369733]",The Valley
8676,2,"[18.22245647, -63.00369733]",The Valley
8677,2,"[18.22245747, -63.00369895]",The Valley
8723,0,"[32.73130971, -117.20222555]",San Diego
8779,0,"[18.44643543, -66.28345755]",Candelaria
8793,0,"[18.4465457, -66.28316651]",Candelaria
8797,0,"[32.99815682, -117.17405196]",Rancho Penasquitos
8825,0,"[42.36604659, -71.01573889]",Chelsea
8846,1,"[40.64784472, -73.77710687]",Springfield Gardens
8863,0,"[40.64656067, -73.78334045]",Springfield Gardens
8872,1,"[46.16798631, -122.96616783]",Longview
8873,1,"[46.16788404, -122.96673513]",Longview
8940,2,"[40.78521842, -74.07232899]",Secaucus
8962,2,"[32.07301184, -81.09362691]",Savannah
8973,0,"[35.21979387, -80.94498281]",Charlotte
8985,2,"[33.43720156, -111.99928786]",Tempe Junction
9040,0,"[40.6954621, -74.1733106]",Newark
9185,0,"[29.99135326, -95.52122091]",Aldine
9234,0,"[29.99653598, -95.53874781]",Cypress
9244,2,"[35.22177192, -80.92309308]",Charlotte
9379,1,"[38.95804042, -77.26190063]",Potomac
9398,1,"[39.87010428, -75.2507858]",Drexel Hill
9431,0,"[42.2822248, -71.0378408]",Milton
9440,0,"[33.43588637, -111.99965664]",Tempe Junction
9441,0,"[33.43824974, -111.99987573]",Tempe Junction
9511,0,"[33.43790009, -111.99746652]",Tempe Junction
9519,0,"[35.21843964, -80.94253029]",Charlotte
9536,0,"[39.8805621, -75.23893393]",Drexel Hill
9566,0,"[39.88116058, -75.24031037]",Drexel Hill
9580,0,"[39.88024969, -75.2363937]",Drexel Hill
9596,1,"[33.6424884, -84.4325976]",East Point
9600,0,"[21.15194085, -86.82443877]",Canc̼n
9612,0,"[40.49569523, -80.24513477]",Upper Saint Clair
9616,0,"[36.11203645, -115.17712729]",Paradise
9698,0,"[33.80598632, -118.36571615]",Torrance
9739,0,"[38.86411798, -77.0231684]","Washington, D.C."
9747,0,"[32.43487013, -80.64150369]",Hilton Head
9767,0,"[33.54774386, -86.75224256]",Mountain Brook
9774,0,"[39.8749399, -75.2407937]",Drexel Hill
9777,0,"[39.8749366, -75.2407972]",Drexel Hill
9846,0,"[21.15192481, -86.82441431]",Canc̼n
9876,0,"[39.8749922, -75.24017448]",Drexel Hill
9877,0,"[39.87455718, -75.24082121]",Drexel Hill
9887,0,"[42.36184505, -71.02219492]",Chelsea
9893,0,"[43.19825137, -70.87335749]",Dover
9894,0,"[43.19830037, -70.87348793]",Dover
9895,0,"[43.19824341, -70.8733423]",Dover
9899,0,"[43.19872113, -70.87307422]",Dover
9913,0,"[42.74561865, -73.80942844]",West Albany
9914,1,"[35.87642273, -78.79274566]",Morrisville
9916,0,"[35.87648539, -78.79266577]",Morrisville
9920,1,"[33.50528024, -86.81047219]",Birmingham
9984,0,"[40.85214382, -73.28567395]",Commack
9985,0,"[39.98272482, -86.22502919]",Zionsville
10042,0,"[37.78831231, -122.41007318]",San Francisco
10056,0,"[35.22358885, -80.95061712]",Charlotte
10058,0,"[35.21905941, -80.9426995]",Charlotte
10063,0,"[40.04903686, -75.1035816]",Willow Grove
10124,0,"[39.87309176, -75.24413798]",Drexel Hill
10135,0,"[38.92102632, -76.9969392]",Chillum
10165,0,"[39.52438256, -74.70144898]",Pleasantville
10195,0,"[36.24269903, -86.10760197]",Lebanon
10235,0,"[25.7789761, -80.1353923]",Miami Beach
10236,0,"[25.7789509, -80.1353866]",Miami Beach
10240,0,"[39.05365524, -84.65487604]",Florence
10247,0,"[39.25956567, -76.70131545]",Arbutus
10288,0,"[39.87631844, -75.24302471]",Drexel Hill
10305,0,"[43.74167873, -79.3442243]",East York
10352,0,"[34.00912984, -84.37154603]",Roswell
10378,0,"[39.87355987, -75.24730884]",Drexel Hill
10392,0,"[39.87414824, -75.25238981]",Drexel Hill
10393,0,"[39.87414053, -75.25236332]",Drexel Hill
10409,0,"[40.04893741, -75.10344598]",Willow Grove
10414,0,"[39.87372068, -75.24732898]",Drexel Hill
10422,0,"[35.2190054, -80.9427282]",Charlotte
10426,0,"[35.2191669, -80.9435256]",Charlotte
10432,0,"[40.04915451, -75.10364317]",Willow Grove
10438,0,"[41.49092099, -81.71644934]",Cleveland
10439,0,"[33.43629607, -111.99894068]",Tempe Junction
10440,0,"[41.49090693, -81.71627307]",Cleveland
10450,2,"[41.72221977, -71.44574004]",Warwick
10457,0,"[41.46454996, -81.70961875]",Cleveland
10462,0,"[41.46460532, -81.70957793]",Cleveland
10484,2,"[39.94624391, -75.17915216]",Philadelphia
10492,0,"[39.90000449, -75.20693516]",Philadelphia
10519,0,"[35.2238122, -80.9435393]",Charlotte
10555,0,"[34.16721397, -118.3453091]",Universal City
10576,0,"[38.85580899, -77.04174148]","Washington, D.C."
10588,0,"[38.90321224, -76.99583548]","Washington, D.C."
10595,1,"[39.9692473, -75.1346431]",Philadelphia
10627,0,"[38.18285051, -85.74225293]",Okolona
10668,1,"[42.201792, -88.3376974]",Lake in the Hills
10681,0,"[42.2017895, -88.337723]",Lake in the Hills
10730,0,"[35.22257093, -80.93941664]",Charlotte
10824,0,"[34.16721627, -118.34537339]",Universal City
10828,0,"[40.77265898, -73.86525922]",College Point
10971,0,"[51.4713252, -0.4674035]",Ashford
10995,0,"[35.2203248, -80.94508344]",Charlotte
10998,0,"[38.86402742, -77.04855865]","Washington, D.C."
11004,0,"[38.86432211, -77.04913451]","Washington, D.C."
11029,0,"[39.8816419, -75.2475867]",Drexel Hill
11066,0,"[39.8744048, -75.24235009]",Drexel Hill
11112,0,"[29.99562368, -90.24376862]",Kenner
11113,1,"[42.95012208, -87.90085158]",Cudahy
11118,2,"[42.95119138, -87.90117857]",Cudahy
11121,0,"[29.98442078, -90.25340271]",Kenner
11134,0,"[29.99894707, -90.27229299]",Kenner
11141,0,"[29.98730979, -90.25605983]",Kenner
11161,0,"[40.74609464, -74.00636235]",Hoboken
11211,2,"[35.2204278, -80.94281752]",Charlotte
11277,1,"[33.79727578, -117.85043081]",Orange
11288,2,"[35.22209167, -80.95237732]",Charlotte
11296,0,"[35.22476994, -80.93932077]",Charlotte
11309,0,"[35.22447828, -80.93940943]",Charlotte
11323,0,"[35.22604872, -80.93863381]",Charlotte
11379,2,"[35.22123472, -80.93287633]",Charlotte
11384,2,"[35.21820752, -80.94527061]",Charlotte
11397,0,"[35.210373, -80.9538682]",Charlotte
11451,0,"[41.15955496, -81.39767448]",Kent
11454,0,"[41.16013713, -81.39768211]",Kent
11458,2,"[41.16012493, -81.39760735]",Kent
11472,0,"[30.44405028, -84.23614305]",Tallahassee
11478,0,"[30.44414315, -84.23627649]",Tallahassee
11540,0,"[35.23185283, -80.96487203]",Charlotte
11555,0,"[43.0460116, -84.4795683]",East Lansing
11556,0,"[43.0460003, -84.4794566]",East Lansing
11599,0,"[35.22287836, -80.94056653]",Charlotte
11618,0,"[36.1036159, -115.16564]",Paradise
11623,0,"[35.22363719, -80.94045544]",Charlotte
11625,0,"[35.22347122, -80.94043272]",Charlotte
11673,2,"[27.96879606, -82.55192621]",Town 'n' Country
11699,0,"[25.8801693, -80.14141202]",North Miami
11737,0,"[35.22032317, -80.94508353]",Charlotte
11753,0,"[38.8639627, -77.0436015]","Washington, D.C."
11761,0,"[38.8687568, -77.035652]","Washington, D.C."
11784,2,"[36.08576903, -115.14953095]",Paradise
11787,0,"[40.6488643, -73.7944749]",Springfield Gardens
11789,0,"[35.20346242, -80.92218024]",Charlotte
11805,2,"[36.08584875, -115.14968355]",Paradise
11888,0,"[35.22643463, -80.93879965]",Charlotte
11912,2,"[37.78618135, -122.45742542]",San Francisco
11936,1,"[32.82813261, -97.25115941]",Haltom City
11956,0,"[40.69017276, -73.91646118]",Bushwick
11957,0,"[40.68994668, -73.91637642]",Bushwick
11958,0,"[40.69002464, -73.91638072]",Bushwick
11960,0,"[40.68996177, -73.91640136]",Bushwick
12026,0,"[34.0213466, -118.45229268]",Santa Monica
12049,0,"[35.22643463, -80.93879965]",Charlotte
12073,2,"[37.78618135, -122.45742542]",San Francisco
12097,1,"[32.82813261, -97.25115941]",Haltom City
12117,0,"[40.69017276, -73.91646118]",Bushwick
12118,0,"[40.68994668, -73.91637642]",Bushwick
12119,0,"[40.69002464, -73.91638072]",Bushwick
12121,0,"[40.68996177, -73.91640136]",Bushwick
12258,0,"[32.8968169, -97.0618222]",Grapevine
12260,1,"[28.02034806, -82.52234293]",Egypt Lake-Leto
12269,0,"[40.78476286, -73.97029561]",Manhattan
12285,0,"[27.97575376, -82.53714356]",Egypt Lake-Leto
12293,2,"[41.06938783, -73.73394372]",White Plains
12321,0,"[27.97628758, -82.53727303]",Egypt Lake-Leto
12326,0,"[39.29951964, -94.71192112]",Gladstone
12334,1,"[39.29381252, -94.71144036]",Gladstone
12342,2,"[33.8143379, -116.53572408]",Palm Springs
12356,0,"[39.29275067, -94.70795218]",Gladstone
12407,0,"[42.18424338, -70.92464087]",Weymouth
12421,0,"[42.16481023, -70.88929237]",Rockland
12541,0,"[30.32398902, -97.71081198]",Austin
12543,1,"[32.91792297, -97.00367737]",Coppell
12545,0,"[32.91792297, -97.00367737]",Coppell
12550,0,"[32.91792297, -97.00367737]",Coppell
12561,0,"[42.01578804, -87.68332344]",Evanston
12565,2,"[32.89959729, -97.03558888]",Grapevine
12581,0,"[40.7786084, -73.94979947]",Manhattan
12582,0,"[41.98051682, -87.73798602]",Skokie
12607,0,"[40.77382001, -73.87315003]",Jackson Heights
12628,1,"[39.8893997, -75.219676]",Philadelphia
12632,2,"[32.9176348, -97.0163282]",Coppell
12647,2,"[41.99335821, -87.91260807]",Bensenville
12699,0,"[32.92215312, -96.97563515]",Coppell
12711,0,"[47.6171292, -122.2803409]",Seattle
12718,0,"[41.95627333, -87.87860345]",Franklin Park
12721,0,"[41.45858699, -81.86780822]",Fairview Park
12730,0,"[41.45856783, -81.86763782]",Fairview Park
12740,0,"[41.45862827, -81.86766456]",Fairview Park
12754,0,"[25.79667815, -80.28050395]",Brownsville
12777,0,"[41.45875201, -81.86775899]",Fairview Park
12779,0,"[36.29164025, -94.11796975]",Rogers
12799,0,"[35.87658269, -78.79254351]",Morrisville
12801,0,"[41.45847861, -81.86764536]",Fairview Park
12822,0,"[41.97367122, -87.89700781]",Bensenville
12836,0,"[35.17267919, -89.77001941]",Germantown
12837,0,"[35.17282894, -89.76988366]",Germantown
12839,0,"[35.17266822, -89.76993377]",Germantown
12840,0,"[35.1728241, -89.76989935]",Germantown
12841,0,"[35.17263842, -89.769988]",Germantown
12845,0,"[35.17279513, -89.76980671]",Germantown
12930,0,"[41.97417744, -87.9004223]",Bensenville
12960,2,"[39.57991628, -105.94147157]",Golden
12987,0,"[31.93684422, -102.20753682]",Midland
12989,0,"[32.90431463, -97.03489789]",Grapevine
13003,1,"[34.02153389, -118.45231518]",Santa Monica
13004,2,"[33.66642719, -117.88328444]",Costa Mesa
13048,0,"[35.46005368, -80.68267946]",Kannapolis
13055,0,"[32.90425138, -97.02805207]",Coppell
13082,0,"[34.0213466, -118.45229268]",Santa Monica
13115,0,"[40.68625909, -74.17970876]",Elizabeth
13129,0,"[39.60778027, -105.95470209]",Golden
13145,1,"[39.91337753, -75.3408263]",Springfield
13148,0,"[34.02389944, -118.45541773]",Santa Monica
13155,0,"[33.43417698, -111.99680158]",Tempe Junction
13157,1,"[30.441566, -84.281745]",Tallahassee
13163,1,"[39.91370182, -75.3405344]",Springfield
13183,0,"[34.09822952, -118.34307851]",Hollywood
13184,2,"[41.97629096, -87.89888444]",Bensenville
13189,0,"[52.51012486, -2.98098622]",Shrewsbury
13192,0,"[52.51012488, -2.98098624]",Shrewsbury
13195,0,"[28.35144756, -81.54358392]",Four Corners
13196,0,"[52.51012533, -2.98099904]",Shrewsbury
13197,0,"[32.78951797, -96.79891462]",Dallas
13202,0,"[39.60813937, -105.9548521]",Golden
13214,1,"[10.42269832, -75.54540857]",Cartagena
13221,0,"[34.10971017, -118.32188864]",Hollywood
13261,0,"[34.10909961, -118.32361693]",Hollywood
13266,0,"[52.51022081, -2.98091961]",Shrewsbury
13301,0,"[33.43064352, -112.04521474]",Phoenix
13304,0,"[37.93712278, -107.81800496]",Montrose
13343,0,"[41.97326595, -87.90025691]",Bensenville
13347,0,"[37.77414482, -122.43628588]",San Francisco
13355,0,"[37.93644673, -107.81832713]",Montrose
13356,0,"[37.93609081, -107.81826687]",Montrose
13368,0,"[37.93885695, -107.82069276]",Montrose
13371,1,"[37.93882337, -107.82065521]",Montrose
13373,0,"[37.93663309, -107.81820588]",Montrose
13403,0,"[44.98157837, -93.23592187]",Minneapolis
13409,0,"[33.9424707, -118.4066671]",El Segundo
13416,0,"[33.9424834, -118.4066885]",El Segundo
13426,0,"[33.9424824, -118.4066757]",El Segundo
13430,0,"[51.44284934, -0.13973305]",Battersea
13432,0,"[35.09721018, -89.89624696]",Germantown
13436,0,"[33.9424793, -118.4066936]",El Segundo
13438,0,"[32.79397552, -96.80477419]",Dallas
13452,0,"[32.79401294, -96.80478711]",Dallas
13484,0,"[51.44283789, -0.13974112]",Battersea
13493,0,"[33.55192892, -112.07392397]",Phoenix
13513,0,"[42.205996, -83.35487329]",Romulus
13518,0,"[47.62581201, -122.3501506]",Seattle
13527,0,"[25.8058716, -80.1255332]",Miami Beach
13533,1,"[27.69523415, -97.34856142]",Corpus Christi
13555,0,"[27.69540747, -97.34836874]",Corpus Christi
13557,0,"[51.44275382, -0.13962939]",Battersea
13576,2,"[40.62967208, -73.90433402]",Canarsie
13580,1,"[25.79729334, -80.28082058]",Brownsville
13696,0,"[33.40901961, -111.90976239]",Tempe
13721,1,"[33.5333555, -112.1827159]",Glendale
13766,2,"[35.2376587, -80.92256446]",Charlotte
13781,0,"[40.67072447, -73.97727422]",Kensington
13785,2,"[24.55401318, -81.80300774]",Key West
13790,2,"[33.94207019, -118.39427775]",El Segundo
13794,0,"[30.0555099, -95.165959]",Atascocita
13810,0,"[43.6950263, -79.3457844]",East York
13814,0,"[21.32879526, -157.91846558]",Honolulu
13835,0,"[25.7977857, -80.2809721]",Brownsville
13847,1,"[30.2772503, -81.38732586]",Jacksonville Beach
13848,0,"[32.89840957, -97.04456259]",Grapevine
13875,0,"[32.89873575, -97.04452633]",Grapevine
13884,2,"[30.33730037, -97.74637026]",Austin
13909,0,"[39.85437802, -104.67127565]",Brighton
13937,0,"[40.64859599, -73.79426922]",Springfield Gardens
13958,0,"[25.79939784, -80.27038889]",Brownsville
14011,1,"[35.23776431, -80.92233988]",Charlotte
14012,0,"[32.89772724, -97.03561645]",Grapevine
14025,2,"[41.9774863, -87.90414419]",Bensenville
14027,0,"[25.8058675, -80.1260541]",Miami Beach
14029,0,"[25.8058666, -80.126062]",Miami Beach
14051,0,"[25.8058656, -80.1260481]",Miami Beach
14055,0,"[35.23770686, -80.92243302]",Charlotte
14070,2,"[33.93871373, -118.40746172]",El Segundo
14110,0,"[34.02109254, -118.50287086]",Santa Monica
14129,0,"[35.20493157, -80.92540817]",Charlotte
14153,0,"[34.02148779, -118.50289643]",Santa Monica
14184,0,"[40.64931132, -73.79263138]",Springfield Gardens
14202,0,"[40.64935461, -73.79198785]",Springfield Gardens
14255,0,"[35.2176668, -80.9426912]",Charlotte
14288,0,"[32.9272165, -97.0396313]",Coppell
14293,0,"[38.83598483, -77.10864801]","Washington, D.C."
14337,0,"[40.46694635, -82.64579149]",Mount Vernon
14365,0,"[40.65062011, -73.79171323]",Springfield Gardens
14374,2,"[35.87912533, -78.79162128]",Morrisville
14381,0,"[40.64824535, -73.80141955]",Howard Beach
14388,0,"[32.9760867, -96.53332214]",Garland
14391,2,"[25.79101279, -80.28861743]",Flagami
14417,0,"[15.1659317, 120.5830548]",Angeles City
14420,0,"[38.85482856, -77.04128223]","Washington, D.C."
14447,0,"[47.24879409, -122.43874458]",Tacoma
14481,2,"[40.6474324, -73.7936881]",Springfield Gardens
14483,0,"[32.97609561, -96.53349238]",Garland
14490,2,"[40.68621427, -74.1793971]",Elizabeth
14511,2,"[44.26313964, -69.78197616]",Augusta
14524,0,"[40.80718573, -73.95477259]",Harlem
14525,0,"[38.5369071, -106.9349375]",Montrose
14528,0,"[38.538038, -106.9370467]",Montrose
14555,0,"[33.64199395, -84.44238523]",East Point
14561,0,"[32.90771571, -97.04233322]",Grapevine
14577,0,"[33.93939612, -118.38973148]",El Segundo
14596,0,"[35.22534456, -106.57241352]",Rio Rancho
14612,0,"[40.46692522, -82.64567078]",Mount Vernon
14624,0,"[32.9070889, -97.03785947]",Grapevine
14625,2,"[40.64946781, -73.76624703]",Springfield Gardens
